https://www.7forallmankind,7 for All Mankind,2
https://www.abercrombie,Abercrombie and Fitch,2
https://www.aeropostale,Aéropostale,2
https://www.agjeans,AG Jeans,1
https://americanapparel,American Apparel,3
https://www.ae,American Eagle,2
https://www.anthropologie,Anthropologie,2
https://bananarepublic.gap,Banana Republic,3
https://benedetta,Benedetta,2
https://www.bensherman,Ben Sherman,2
https://blancgroup,Blanc and Eclare,3
https://www.brooksbrothers,Brooks Brothers,1
https://www.thombrowne,Thom Browne,1
https://www.callawaygolf,Callaway Golf Company,2
https://www.calvinklein,Calvin Klein,3
https://www.carhartt,Carhartt,2
https://www.carters,Carter's,2
https://charlotterusse,Charlotte Russe,2
https://www.columbia,Columbia Sportswear,3
https://www.converse,Converse,3
https://www.donnakaran,DKNY,1
https://www.eddiebauer,Eddie Bauer,2
https://eggie,Eggie,1
https://www.fabletics,Fabletics,2
https://www.forever21,Forever 21,2
https://www.fossil,Fossil Group,1
https://www.gap,Gap,3
https://www.guess,Guess,2
https://usa.tommy,Tommy Hilfiger,3
https://www.hollisterco,Hollister,2
https://www.jcrew,J Crew,2
https://www.katespade,Kate Spade,2
https://www.llbean,LL Bean,1
https://www.levi,Levis,3
https://www.luckybrand,Lucky Brand,1
https://www.thenorthface,The North Face,3
https://oldnavy.gap,Old Navy,3
https://www.oshkosh,Osh Kosh B'gosh,1
https://www.pacsun,PacSun,2
https://www.patagonia,Patagonia,4
https://www.perryellis,Perry Ellis International,2
https://www.ralphlauren,Ralph Lauren Corporation,2
https://www.streetwearofficial,Supreme,1
https://www.thirdlove,ThirdLove,1
https://www.timberland,The Timberland Company,3
https://www.ugg,UGG,3
https://www.underarmour,Under Armour,2
https://www.urbanoutfitters,Urban Outfitters,2
https://www.vineyardvines,Vineyard Vines,1

